中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
154.211.8.142,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
154.211.8.216,443,0.0.0.0,CN,San Jose,官方,186 ms,null Mbps,null kB/s
154.211.8.222,443,0.0.0.0,CN,San Jose,官方,163 ms,null Mbps,null kB/s
154.211.8.230,443,0.0.0.0,CN,San Jose,官方,209 ms,null Mbps,null kB/s
154.211.8.212,443,0.0.0.0,CN,San Jose,官方,1185 ms,null Mbps,null kB/s
154.211.8.209,443,0.0.0.0,CN,San Jose,官方,168 ms,null Mbps,null kB/s
154.211.8.246,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
154.211.8.234,443,0.0.0.0,CN,San Jose,官方,147 ms,null Mbps,null kB/s
154.211.8.228,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
154.211.8.241,443,0.0.0.0,CN,San Jose,官方,147 ms,null Mbps,null kB/s
154.211.8.187,443,0.0.0.0,CN,San Jose,官方,148 ms,null Mbps,null kB/s
